timestamp,AccX,AccY,AccZ,LinearAccelerometerSensor
1749047874154,,4.095914363861084,,
1749047874155,1.0671988725662231,,8.171489715576172,2.3551711468556684
1749047874190,,,,2.6518854523398145
1749047874206,,4.104887008666992,,
1749047874207,1.4590235948562622,,8.37846851348877,
1749047874224,,,,1.7829833046671189
1749047874258,,4.053441524505615,,
1749047874259,-0.08434699475765228,,9.44626522064209,
1749047874260,,,,1.311763602257317
1749047874294,,,,2.003123347955698
1749047874311,,4.216153621673584,,
1749047874312,0.3936193287372589,,7.691728591918945,
1749047874328,,,,1.8582696273672465
1749047874364,-0.1740778535604477,4.746163845062256,8.993423461914062,1.5743206738968505
1749047874398,,,,1.8176736983212156
1749047874416,-0.7848458290100098,5.052444934844971,10.048060417175293,
1749047874433,,,,2.4531524073533655
1749047874467,,4.474578380584717,,
1749047874468,-0.4325026869773865,4.598406791687012,9.486345291137695,1.3425919621686564
1749047874503,,,,1.2588286471302175
1749047874520,,4.121636867523193,,
1749047874521,,3.792025566101074,10.335199356079102,
1749047874522,-2.139183521270752,,,
1749047874537,,,,2.715822156063964
1749047874573,-1.32921302318573,2.8313074111938477,11.504093170166016,2.756040008918905
1749047874607,,,,1.2580507420068998
1749047874624,,2.933002471923828,,
1749047874625,-1.9884356260299683,3.1238300800323486,9.115457534790039,
1749047874642,,,,1.620569498249682
1749047874678,-2.1607189178466797,2.9282166957855225,7.307680130004883,
1749047874679,,,,1.5377161943976982
1749047874727,,,,5.167738813502486
1749047874748,-5.264808177947998,3.985246181488037,12.671192169189453,
1749047874770,,,,4.397541937441044
1749047874813,,3.7160534858703613,,
1749047874814,,3.624528169631958,6.976274490356445,
1749047874815,-0.37806597352027893,,7.527820110321045,1.176339153352866
1749047874858,,,,2.348188749274998
1749047874879,,4.67078971862793,,
1749047874880,-0.24406790733337402,5.048257350921631,6.591628074645996,
1749047874903,,,,1.2031574492599277
1749047874946,-1.3459627628326416,5.340780258178711,7.347760200500488,1.7408873492172878
1749047874990,,,,2.427866360551434
1749047875007,-0.6161518096923828,5.729015827178955,7.301100254058838,
1749047875033,,,,1.9748613477880061
1749047875071,,5.183452129364014,,
1749047875072,-0.9230313301086426,4.914857864379883,7.9381890296936035,
1749047875076,,,,2.80405514529824
1749047875121,,,,2.1102710092432186
1749047875139,0.10707881301641464,6.059823513031006,10.890932083129883,
1749047875164,,,,2.837091552644782
1749047875203,0.9607182741165161,4.727021217346191,10.089935302734375,
1749047875207,,,,2.246011165261647
1749047875251,,,,3.2752741575148736
1749047875267,,2.5639095306396484,,
1749047875268,1.368694543838501,,10.52782154083252,
1749047875295,,,,2.5481796199660556
1749047875332,,2.6195425987243652,,
1749047875333,1.1234302520751953,,9.274580955505371,
1749047875339,,,,2.3329494591972413
1749047875381,,,,2.0014464393098983
1749047875398,,2.449054002761841,,
1749047875399,0.5641079545021057,2.7667012214660645,8.219346046447754,
1749047875425,,,,1.7850343090788543
1749047875463,0.21176479756832123,3.0478577613830566,7.987242221832275,
1749047875467,,,,1.4395746932849254
1749047875511,,,,1.6550166018019246
1749047875528,0.7519445419311523,3.277568817138672,8.352147102355957,
1749047875529,0.39062830805778503,3.638286828994751,8.561519622802734,
1749047875555,,,,1.3642345691358375
1749047875593,,3.6436707973480225,,
1749047875594,0.5515456199645996,,8.70209789276123,
1749047875599,,,,1.506787994670308
1749047875641,,,,1.403355310650046
1749047875659,0.4295116662979126,3.996612071990967,9.226723670959473,
1749047875685,,,,1.5630816330779558
1749047875726,0.2757728099822998,4.262813568115234,10.149157524108887,
1749047875728,,,,2.0595398670476714
1749047875773,,,,2.014168738144596
1749047875789,0.1818545162677765,4.094717979431152,10.789237022399902,
1749047875817,,,,1.0371012139582976
1749047875854,-0.4253242313861847,4.473381996154785,9.509077072143555,
1749047875855,-1.074377417564392,,,
1749047875860,,,,2.0072945843371683
1749047875904,,,,1.9167706074381192
1749047875920,,3.1824541091918945,10.903494834899902,
1749047875921,-0.7417750358581543,,10.6564359664917,
1749047875946,,,,1.5575954519447421
1749047875985,-0.6963114142417908,2.2229323387145996,8.549555778503418,
1749047875990,,,,1.6855420657340139
1749047876035,,,,1.853538456767143
1749047876050,,2.262413740158081,,
1749047876051,-0.23748764395713806,,8.5100736618042,
1749047876077,,,,1.411417811563978
1749047876115,-0.17587246000766754,3.356531858444214,7.643871784210205,
1749047876120,,,,1.9060962177219674
1749047876163,,,,1.4703741630247626
1749047876180,,3.7088751792907715,,
1749047876181,-0.729810893535614,,7.5086774826049805,
1749047876208,,,,1.222113443119248
1749047876246,,2.7140591144561768,,
1749047876247,0.633499801158905,2.8139593601226807,8.21695327758789,
1749047876251,,,,2.331541895042292
1749047876294,,,,0.9378169159878997
1749047876311,-0.6101697683334351,4.563112735748291,8.213363647460938,
1749047876337,,,,1.0724377658989726
1749047876376,,4.417150497436523,,
1749047876377,,4.618745803833008,9.173483848571777,
1749047876378,0.5228317379951477,,,
1749047876381,,,,1.8653544602010022
1749047876424,,,,2.9455757327040035
1749047876441,2.1200408935546875,4.17427921295166,8.345566749572754,
1749047876467,,,,2.686046207129944
1749047876506,1.4123635292053223,4.85324239730835,10.432108879089355,
1749047876511,,,,2.834793070081678
1749047876555,,,,3.0483318269481523
1749047876571,,4.070789337158203,,
1749047876572,-0.9643075466156006,0.7806583642959595,13.382458686828613,
1749047876599,,,,3.927721749109493
1749047876637,,1.1222338676452637,,
1749047876638,2.0542383193969727,1.3920245170593262,8.279166221618652,
1749047876642,,,,2.129241636963236
1749047876685,,,,1.8069221565904319
1749047876701,,2.1373889446258545,,
1749047876702,0.09930214285850525,2.104487419128418,9.461220741271973,
1749047876703,0.31764721870422363,2.472383975982666,7.892127513885498,
1749047876729,,,,1.9216407695171105
1749047876768,0.3314059376716614,2.4580271244049072,8.192426681518555,
1749047876772,,,,1.5058491628575177
1749047876818,,,,1.6793556772759457
1749047876832,0.9074779748916626,3.056830883026123,8.58784008026123,
1749047876859,,,,1.2937528877410358
1749047876897,,3.207578659057617,9.298508644104004,
1749047876898,0.38225340843200684,,9.268598556518555,
1749047876902,,,,1.107594794442373
1749047876947,,,,0.9933758325147278
1749047876963,,3.658625841140747,,
1749047876964,0.09272187948226929,3.5437703132629395,9.254241943359375,
1749047876989,,,,1.3660833641407037
1749047877029,0.41515472531318665,3.662214994430542,9.533005714416504,
1749047877033,,,,1.557989094021471
1749047877076,,,,1.936329518822312
1749047877094,,3.6747772693634033,,
1749047877095,-0.1537388563156128,4.0181474685668945,10.630114555358887,
1749047877121,,,,1.6912399809343919
1749047877159,,3.946960926055908,,
1749047877160,0.024526432156562805,,9.306883811950684,
1749047877163,,,,1.705679351622798
1749047877208,,,,1.637991471828482
1749047877224,,3.518047571182251,,
1749047877225,-1.3752747774124146,,10.650453567504883,
1749047877250,,,,1.9121304472871685
1749047877288,-1.4602199792861938,2.9144580364227295,7.666005611419678,
1749047877293,,,,1.6877619928502618
1749047877337,,,,2.20787758592913
1749047877355,,2.919243574142456,,
1749047877356,-0.3774677813053131,,7.70967435836792,
1749047877381,,,,1.6722453054874615
1749047877419,,3.692723512649536,,
1749047877420,-1.085145115852356,3.920041799545288,8.316255569458008,
1749047877424,,,,0.5121407261380576
1749047877468,,,,1.3213381423349437
1749047877485,-0.7998009920120239,4.06839656829834,7.651050567626953,
1749047877511,,,,1.9410587974655755
1749047877550,0.12143574655056,4.700101852416992,7.191030025482178,
1749047877551,0.1944168359041214,,,
1749047877555,,,,1.836816844973597
1749047877598,,,,2.0027827930196587
1749047877615,0.2715853750705719,4.981258392333984,9.486345291137695,
1749047877641,,,,1.5208182486565505
1749047877680,,5.2492547035217285,8.475378036499023,
1749047877681,0.6711867451667786,,,
1749047877686,,,,2.244932614273077
1749047877729,,,,3.729143252734341
1749047877745,2.63449764251709,3.259622573852539,10.821540832519531,
1749047877772,,,,1.7711986239782018
1749047877810,,4.631308078765869,9.644869804382324,
1749047877811,0.7094719409942627,,,
1749047877815,,,,2.1904114013670513
1749047877859,,,,3.2255695283699333
1749047877876,1.970489501953125,2.730808734893799,11.288141250610352,
1749047877877,2.8211379051208496,3.012563705444336,9.043074607849121,
1749047877903,,,,3.1318044205909485
1749047877941,2.7942185401916504,3.053839921951294,9.257830619812012,
1749047877946,,,,2.3437040197312653
1749047877989,,,,2.253490707198865
1749047878006,,3.1507492065429688,,
1749047878007,1.740180253982544,3.094517946243286,8.534600257873535,
1749047878033,,,,2.057744294283903
1749047878071,,3.7806596755981445,7.919046401977539,
1749047878072,1.5026925802230835,3.6640095710754395,,
1749047878077,,,,1.4687813288817138
1749047878120,,,,2.0969766833783163
1749047878137,1.6103696823120117,3.833899974822998,7.833503246307373,
1749047878163,,,,1.6088385567525803
1749047878202,0.46360939741134644,4.459623336791992,7.871190071105957,
1749047878207,,,,0.8337733696403278
1749047878250,,,,1.6189636943674215
1749047878267,,4.744369029998779,,
1749047878268,1.1324033737182617,,9.110671997070312,
1749047878293,,,,1.8206858763648075
1749047878332,0.8662018179893494,4.430909156799316,9.480961799621582,
1749047878336,,,,1.5982925901235352
1749047878380,,,,1.3522715390042066
1749047878398,0.5132604837417603,4.715056896209717,9.847063064575195,
1749047878424,,,,0.8914805535951721
1749047878464,,4.962714195251465,,
1749047878465,-0.6975077986717224,4.718646049499512,7.818548202514648,
1749047878467,,,,1.850607581502716
1749047878511,,,,4.04926456320251
1749047878527,-1.7425731420516968,3.284747362136841,12.578470230102539,
